jogador,idade,nacionalidade,time,valor,posicao
E. Ocansey,20,Ghana,KAS Eupen,1.6,RM
B. Uphoff,24,Germany,Karlsruher SC,1,GK
Wu Xi,29,China PR,Jiangsu Suning FC,1,LCM
C. Skuse,32,England,Ipswich Town,600K,RDM
E. Rexhbeçaj,20,Kosovo,VfL Wolfsburg,1.8,CM
G. Åsen,27,Norway,Tromsø IL,1.2,LCM
M. Laba,26,Argentina,Estudiantes de La Plata,1.1,CDM
G. Carabajal,26,Argentina,Patronato,1.1,RDM
T. Fontaine,27,Madagascar,Stade de Reims,875K,CB
J. Villafaña,28,United States,Portland Timbers,825K,LB
B. Tashchy,24,Ukraine,MSV Duisburg,1.4,LS
J. Vaughan,29,England,Wigan Athletic,1.1,ST
J. Moya,25,Colombia,Independiente Santa Fe,1.1,CB
N. Sangaré,24,Turkey,Antalyaspor,1.2,RB
Kim Kwang Suk,35,Korea Republic,Pohang Steelers,250K,LCB
M. Rojas,26,New Zealand,SC Heerenveen,1.1,LW
E. Taşkıran,28,Turkey,Atiker Konyaspor,875K,GK
M. Gersbeck,23,Germany,Hertha BSC,1.2,GK
U. Çiftçi,26,Turkey,Sivasspor,1.1,LB
Lucas Galvão,27,Brazil,FC Ingolstadt 04,1.1,CB
B. Riascos,23,Colombia,CD Nacional,1.4,ST
E. Saveljich,27,Montenegro,UD Almería,1.1,LCB
Tang Miao,27,China PR,Guangzhou R&F; FC,875K,RB
J. Mees,22,Germany,1. FC Union Berlin,1.6,LW
C. Cáceda,26,Peru,,0,GK
O. Fernández,25,Colombia,Puebla FC,1.3,RCM
Jeffrén,30,Venezuela,Grasshopper Club Zürich,1,RM
K. Manneh,23,United States,FC St. Gallen,1.5,LM
G. Larsonneur,21,France,Stade Brestois 29,1.4,GK
O. Kúdela,31,Czech Republic,SK Slavia Praha,700K,RCB
E. Bourgaud,30,France,Red Star FC,1,RM
P. Huspek,27,Austria,SK Sturm Graz,1.1,RM
G. Maluleka,29,South Africa,Kaizer Chiefs,1,CM
T. Jurić,26,Australia,FC Luzern,1.3,ST
F. Scaglia,26,Italy,Cittadella,1.1,CB
David Rodríguez,32,Spain,CA Osasuna,850K,ST
H. Kekana,33,South Africa,,0,CDM
C. Dibon,27,Austria,SK Rapid Wien,1,CB
R. Petretta,21,Italy,FC Basel 1893,2.1,LB
M. Scozzarella,30,Italy,Parma,975K,CM
M. Kaye,23,Canada,Los Angeles FC,1.4,CM
Y. Toyokawa,23,Japan,KAS Eupen,1.4,CF
L. Bittante,24,Italy,Empoli,1,RB
E. Velarde,32,Mexico,Monarcas Morelia,575K,LB
D. Jones,33,England,Sheffield Wednesday,625K,CM
M. Cahais,30,Argentina,San Martin de Tucumán,775K,CB
M. Olivera,20,Uruguay,Albacete BP,1.4,LB
M. Sax,25,Austria,FK Austria Wien,1.2,RM
A. Mühling,25,Germany,Holstein Kiel,1.3,RCM
P. Bråtveit,22,Norway,FK Haugesund,1.1,GK
F. Píriz,28,Uruguay,Montpellier HSC,950K,CDM
Ricardo Lopes,27,Brazil,Jeonbuk Hyundai Motors,1.1,LM
P. Hamel,24,France,FC Lorient,1.4,ST
K. Mączyński,31,Poland,Legia Warszawa,700K,CDM
M. Hamdy,23,Egypt,,0,CB
R. Pröpper,24,Netherlands,Heracles Almelo,1.2,CB
C. N'Doye,32,Senegal,Angers SCO,800K,RCM
Fernando Karanga,27,Brazil,Henan Jianye FC,1.2,LS
C. Carter-Vickers,20,United States,Swansea City,2.1,CB
E. Cobbaut,20,Belgium,RSC Anderlecht,1.5,LB
M. Dąbrowski,31,Poland,Zagłębie Lubin,700K,RCB
F. Picault,27,United States,Philadelphia Union,1.1,LM
R. Romo,28,Venezuela,,0,GK
A. Corzo,29,Peru,,0,LB
L. Dickmann,21,Italy,SPAL,1.4,RB
Luis Pérez,23,Spain,CD Tenerife,1.3,RB
A. Barkok,20,Germany,Fortuna Düsseldorf,1.9,RM
M. Watkins,27,Wales,Bristol City,1.1,RM
H. Arslan,29,Turkey,Sivasspor,825K,CAM
A. Camargo,29,Argentina,CD Universidad de Concepción,1,RCM
F. Müller,20,Germany,1. FSV Mainz 05,1.9,GK
B. Behrendt,26,Germany,DSC Arminia Bielefeld,1.1,CB
L. Zingerle,24,Germany,SC Paderborn 07,1,GK
Mei Fang,28,China PR,Guangzhou Evergrande Taobao FC,850K,CB
M. Svanberg,19,Sweden,Bologna,2.3,LM
D. Bernhardt,32,Germany,VfR Aalen,600K,GK
K. D'Haene,28,Belgium,KV Kortrijk,825K,LM
J. Malagón,25,Colombia,Patriotas Boyacá FC,1.2,RCB
Paulo Fajarda,26,Brazil,Cruzeiro,925K,CB
Germán,31,Spain,Granada CF,700K,RCB
B. Idowu,26,Nigeria,Lokomotiv Moscow,1.1,LWB
B. Mkhwanazi,28,South Africa,,0,RCB
Toché,35,Spain,Real Oviedo,475K,ST
Hélder Ferreira,21,Portugal,Vitória Guimarães,1.5,RM
G. Mandjeck,29,Cameroon,,0,LCM
S. Morsy,26,Egypt,Wigan Athletic,1.1,CDM
T. Antonis,24,Australia,Melbourne Victory,1.2,LM
M. Duffy,23,Northern Ireland,Dundalk,1.4,LM
A. Ndour,24,Senegal,RC Strasbourg Alsace,1.1,LB
Rafael Costa,27,Brazil,Boavista FC,1.2,CM
K. Walker-Peters,21,England,Tottenham Hotspur,1.6,RB
C. Luna,36,Argentina,Club Atlético Tigre,375K,ST
J. Bidwell,25,England,Queens Park Rangers,1.1,LB
F. Noguera,25,Argentina,Estudiantes de La Plata,1.2,LCB
T. Weah,18,United States,Paris Saint-Germain,2.2,LM
J. Paganoni,29,Mexico,Tiburones Rojos de Veracruz,800K,RB
A. Collin,32,France,New York Red Bulls,600K,CB
Ripa,32,Spain,CD Numancia,575K,LB
Galán,32,Spain,CF Rayo Majadahonda,575K,RB
M. Bolados,22,Chile,Universidad Católica,1.5,RW
Sandro Maceira,26,Brazil,Atlético Paranaense,1.1,CAM
R. Ibarra,23,Ecuador,Minnesota United FC,1.4,LM
N. Al Shamrani,34,Saudi Arabia,Al Shabab,550K,RS
R. Holmes,31,England,Oxford United,925K,LM
J. Cordoval,28,France,ESTAC Troyes,825K,RB
M. Radović,34,Serbia,Legia Warszawa,525K,CAM
G. Zigoni,27,Italy,Venezia FC,1.2,LS
J. Corona,27,United States,Club América,1.1,CM
W. Bruin,28,United States,Seattle Sounders FC,1.1,ST
J. Glad,21,United States,Real Salt Lake,1.3,LCB
D. Gordon,33,Jamaica,Karlsruher SC,425K,RCB
P. Rodríguez,28,Argentina,Moreirense FC,1.1,LW
E. Konsa,20,England,Brentford,1.6,RCB
O. Darfalou,24,Algeria,Vitesse,1.4,ST
L. Murphy,28,England,Bolton Wanderers,1,CM
Chuli,27,Spain,Extremadura UD,1.2,LS
D. Suzuki,28,Japan,Kashiwa Reysol,850K,RCB
A. Gholizadeh,22,Iran,Sporting de Charleroi,1.5,RM
I. Ouali,30,Algeria,KV Kortrijk,1,LW
B. Holman,34,Australia,Brisbane Roar,525K,CAM
J. Gyamerah,23,Germany,VfL Bochum 1848,1.3,RCB
Cai Huikang,28,China PR,Shanghai SIPG FC,850K,CM
M. Pittón,23,Argentina,Unión de Santa Fe,1.4,LCM
T. Kuszczak,36,Poland,Birmingham City,140K,GK
L. Blessing,21,Ghana,Los Angeles FC,1.7,RW
D. Meyler,29,Republic of Ireland,Reading,825K,CDM
J. Czerwiński,26,Poland,Piast Gliwice,1,RCB
R. Vilchis,28,Mexico,Monarcas Morelia,1.1,LM
G. Valsvik,25,Norway,Eintracht Braunschweig,1.1,LCB
A. Giannou,28,Australia,,0,ST
J. Hobbs,29,England,Bolton Wanderers,825K,RCB
R. Gíslason,30,Iceland,SV Sandhausen,1,ST
C. M'Bengue,29,Senegal,AS Saint-Étienne,800K,LB
I. Jiménez,28,Mexico,Tigres U.A.N.L.,825K,RB
A. Al Khaibari,32,Saudi Arabia,Al Hilal,600K,CDM
S. Yatabaré,29,Mali,Royal Antwerp FC,1,CM
J. Lowe,26,England,Bolton Wanderers,1.1,LDM
E. Jelenič,25,Slovenia,Carpi,1.2,RM
M. Abero,28,Uruguay,Atlético Tucumán,825K,LB
A. Teikeu,28,Cameroon,Ohod Club,1,LCB
E. Castillo,31,United States,Colorado Rapids,700K,LB
M. Wagué,19,Senegal,FC Barcelona,1.6,RB
P. Klandt,34,Germany,1. FC Nürnberg,425K,GK
Farley,24,Brazil,Ettifaq FC,1.4,LM
Luís Martins,26,Portugal,GD Chaves,1,LB
S. Riether,35,Germany,FC Schalke 04,230K,RB
L. Diarte,25,Argentina,San Martin de Tucumán,1.2,LB
G. Bojanich,33,Argentina,Argentinos Juniors,425K,LCB
B. Mansilla,21,Argentina,Racing Club,2.3,LM
Fran Villalba,20,Spain,CD Numancia,1.7,LCM
L. Peltier,31,England,Cardiff City,700K,RB
M. Knaller,31,Austria,FC Ingolstadt 04,650K,GK
Baena,29,Spain,Melbourne Victory,825K,CDM
P. Ziegler,28,Germany,Western Sydney Wanderers,850K,CB
S. Wangberg,27,Norway,Tromsø IL,1.1,CB
N. Thomsen,25,Denmark,FC København,1.3,LM
D. Boer,37,Netherlands,PEC Zwolle,70K,GK
D. Hernández,25,Colombia,San Lorenzo de Almagro,1.2,RM
A. Šporar,24,Slovenia,,0,ST
J. Jantscher,29,Austria,SK Sturm Graz,1,LM
E. Huws,24,Wales,Ipswich Town,1.4,CM
U. Matić,28,Serbia,FK Austria Wien,1,LCM
A. Ashraf,27,Egypt,,0,LM
W. Bakhashwain,28,Saudi Arabia,Al Wehda,850K,LDM
H. Aiesh,23,Sweden,Östersunds FK,1.4,LW
S. Prevljak,23,Bosnia Herzegovina,FC Red Bull Salzburg,1.6,LS
A. Aldrete,30,Mexico,Cruz Azul,750K,LB
L. De Bock,25,Belgium,KV Oostende,1.1,LB
J. Hunt,27,England,Bristol City,875K,RB
L. Ceballos,31,Argentina,Patronato,700K,RB
Javi Muñoz,23,Spain,Real Oviedo,1.5,CM
Alson Botelho,30,Brazil,Atlético Mineiro,775K,CDM
O. De Wolf,21,Belgium,Sporting Lokeren,1.2,GK
J. Arp,18,Germany,Hamburger SV,2.2,ST
J. Ardaiz,19,Uruguay,Frosinone,2,ST
L. Moult,26,England,Preston North End,1.3,ST
Arthur Caike,26,Brazil,Al Shabab,1.2,LM
I. Rivas,30,Colombia,Junior FC,975K,CM
N. Onuoha,31,England,Real Salt Lake,700K,CB
Mika,27,Portugal,Os Belenenses,875K,GK
V. Klonaridis,25,Belgium,AEK Athens,1.2,RM
C. Stanković,25,Austria,FC Red Bull Salzburg,1,GK
M. Gómez,24,Colombia,Rionegro Águilas,1.4,LM
L. Klünter,22,Germany,Hertha BSC,1.4,RB
A. Farrell,26,United States,New England Revolution,1,RB
G. Tutino,21,Italy,Cosenza,1.8,LS
E. Kouassi,20,Ivory Coast,Celtic,1.3,CDM
I. Cardona,20,France,KSV Cercle Brugge,1.7,ST
G. Bruno,26,Belgium,KSV Cercle Brugge,1.3,LM
D. Accam,27,Ghana,Philadelphia Union,1.1,LW
Pablo Valcarce,25,Spain,RCD Mallorca,1.3,RM
Filipe Ferreira,27,Portugal,SK Sturm Graz,875K,LB
E. Triverio,29,Argentina,Deportivo Toluca,1.1,ST
Wellington,25,Brazil,Portimonense SC,1.2,RW
B. Nehrig,31,Germany,FC St. Pauli,700K,CDM
F. Campbell,30,England,Hull City,1,ST
M. Yatabaré,32,Mali,Atiker Konyaspor,850K,ST
E. Lenjani,28,Albania,FC Sion,825K,LB
F. Bredlow,23,Germany,1. FC Nürnberg,1.2,GK
Y. Takahagi,31,Japan,FC Tokyo,900K,CAM
D. Arzani,19,Australia,Celtic,2.3,RM
A. Bencharki,23,Morocco,Racing Club de Lens,1.4,LM
B. Ampuero,24,Chile,Universidad Católica,1.2,CB
G. Puşcaş,22,Romania,Palermo,1.6,ST
C. Chávez,31,Argentina,Club Atlético Aldosivi,925K,LW
V. Marcel,21,France,ESTAC Troyes,1.6,RW
I. Pillud,32,Argentina,Racing Club,575K,RB
B. Dja Djédjé,27,Ivory Coast,MKE Ankaragücü,975K,LDM
M. Bakić,24,Montenegro,Royal Excel Mouscron,1.4,CM
P. Sané,26,Senegal,AS Nancy Lorraine,1.3,ST
J. Clarke-Salter,20,England,Vitesse,1.7,LCB
I. Radu,21,Romania,Genoa,1.5,GK
D. Gibson,30,Republic of Ireland,Wigan Athletic,975K,CM
H. Özmert,33,Turkey,Antalyaspor,425K,LCM
L. Spendlhofer,25,Austria,SK Sturm Graz,1.2,RCB
Pomares,25,Spain,Extremadura UD,1.1,LB
A. Costa,33,Argentina,San Martin de Tucumán,625K,LCM
Pedro Porro,18,Spain,Girona FC,1.6,RWB
Y. Stark,27,Germany,SV Darmstadt 98,1,CDM
M. Tanković,23,Sweden,Hammarby IF,1.4,CAM
R. Lindgren,33,Sweden,BK Häcken,425K,RCB
Raúl Llorente,32,Spain,Western Sydney Wanderers,575K,LB
M. García,26,Argentina,San Martin de Tucumán,1.1,LM
M. Kucharczyk,27,Poland,Legia Warszawa,1.1,RM
M. Havenaar,31,Japan,Vegalta Sendai,950K,ST
F. Bahlouli,23,France,LOSC Lille,1.5,CAM
C. Roberts,22,Wales,Swansea City,1.3,RB
Servando,34,Spain,Cádiz CF,325K,CB
Lucas João,24,Portugal,Sheffield Wednesday,1.4,LM
K. Kodro,24,Bosnia Herzegovina,FC København,1.4,ST
Lucas Tagliapietra,27,Brazil,Al Batin,1,LCB
G. Maroni,19,Argentina,Club Atlético Talleres,1.8,CAM
O. Altman,24,Israel,Panathinaikos FC,1.4,CAM
J. Legear,31,Belgium,Sint-Truidense VV,925K,LM
Crislan,26,Brazil,Shimizu S-Pulse,1.3,ST
S. Hakšabanovič,19,Montenegro,Málaga CF,1.6,LM
M. Christiansen,21,Germany,DSC Arminia Bielefeld,1.4,CDM
D. Sundgren,27,Sweden,AIK,875K,RWB
A. Parot,28,Chile,Rosario Central,825K,LB
M. Petković,25,Serbia,Spartak Moscow,1.1,RB
C. Charisis,23,Greece,KV Kortrijk,1.4,CM
Diogo Coelho,24,Portugal,CD Nacional,1.2,CB
M. Ibarra,28,United States,Minnesota United FC,1.1,RM
Riqui Puig,18,Spain,FC Barcelona,2.1,CM
M. Pereira,30,France,Yeni Malatyaspor,1,RM
Ilori,25,Portugal,Reading,1.1,RCB
M. Zeffane,26,Algeria,Stade Rennais FC,1,LB
Tomás Podstawski,23,Portugal,Pogoń Szczecin,1.3,CDM
Jo Sung Jin,27,Korea Republic,Suwon Samsung Bluewings,1,LCB
H. Yamada,29,Japan,Júbilo Iwata,1,RF
Antonaldo Laforte,26,Brazil,Fluminense,1.1,CAM
C. Beck,30,Germany,1. FC Magdeburg,1,RS
E. Rivière,28,France,FC Metz,1.1,ST
I. Parlak,31,Turkey,MKE Ankaragücü,950K,CAM
B. Montenegro,25,Paraguay,Club Atlético Talleres,1.4,ST
V. Demarconnay,35,France,Paris FC,250K,GK
A. Ajagun,25,Nigeria,KV Kortrijk,1.3,CAM
G. Madine,27,England,Cardiff City,1.1,ST
F. Cordero,30,Chile,San Martin de Tucumán,750K,LB
R. Stearman,30,England,Sheffield United,775K,CB
H. ter Avest,21,Netherlands,Udinese,1.3,RB
J. Medina,21,Paraguay,New York City FC,1.7,RW
V. Anita,29,Netherlands,Willem II,1,RCM
C. McManaman,27,England,Wigan Athletic,1.1,RM
Oriol Rosell,25,Spain,Orlando City SC,1.1,RDM
Paulo Daineiro,34,Brazil,Ceará Sporting Club,525K,LAM
R. Vincelot,32,France,Crawley Town,600K,CB
R. Lenis,25,Colombia,Atlético Nacional,1.2,RW
M. Mier,27,Uruguay,La Equidad,1.1,LM
Y. de Lanlay,26,Norway,Rosenborg BK,1.2,LW
J. Gómez,24,Mexico,Querétaro,1.1,RCM
I. Lichnovsky,24,Chile,Cruz Azul,1.3,CB
C. Muñoz,29,Chile,Unión Española,1.1,ST
J. MacDonald,32,Scotland,Kilmarnock,600K,GK
G. Boyd,32,Scotland,Sheffield Wednesday,825K,RM
E. Lichaj,29,United States,Hull City,800K,RB
M. Wittek,29,Germany,1. FC Heidenheim 1846,825K,CB
C. Jenkinson,26,England,Arsenal,1,RB
A. Öztürk,24,Belgium,Göztepe SK,1.2,CDM
J. Pérez,27,Colombia,Pachuca,1.2,ST
Zhang Chengdong,29,China PR,Hebei China Fortune FC,1,RM
F. Renzetti,30,Italy,US Cremonese,750K,LB
B. Paulsen,26,Denmark,Hammarby IF,1.1,RCB
F. Aristeguieta,26,Venezuela,América de Cali,1.3,RS
A. Ramos,26,Chile,CD Everton de Viña del Mar,1.2,ST
V. Nelsson,19,Denmark,FC Nordsjælland,1.6,CB
Ever Sineiro,30,Brazil,Cruzeiro,1,CAM
M. Costanzo,30,Switzerland,FC Thun,1,CAM
Yohan Tavares,30,Portugal,ESTAC Troyes,775K,RCB
D. Texeira,27,Uruguay,Moreirense FC,1.2,ST
D. Toth,31,Austria,FC Admira Wacker Mödling,700K,CDM
L. Barrera,27,Argentina,Clube Sport Marítimo,1.1,LM
K. Bua,24,Switzerland,FC Basel 1893,1.3,LM
I. Anya,30,Scotland,Derby County,1,RW
P. Hoban,26,Republic of Ireland,Dundalk,1.3,ST
Hugo Basto,25,Portugal,GD Chaves,1.2,CB
Kanu,30,Brazil,KV Kortrijk,1,CAM
C. Arango,23,Colombia,CD Tondela,1.6,ST
M. Karl,32,Germany,SV Sandhausen,600K,RCB
Y. Movsisyan,30,Armenia,Chicago Fire,1,ST
Puado,20,Spain,RCD Espanyol,1.7,ST
M. Abu,26,Ghana,Vålerenga Fotball,1.1,LDM
D. Moberg Karlsson,24,Sweden,IFK Norrköping,1.5,RF
E. Rescaldani,26,Argentina,Patronato,1.3,ST
J. Narváez,23,Colombia,UD Almería,1.6,CM
J. Hoogma,20,Netherlands,TSG 1899 Hoffenheim,1.6,CB
S. Beitashour,31,Iran,Los Angeles FC,700K,RB
M. Janko,35,Austria,FC Lugano,475K,ST
S. Willems,27,France,Sporting de Charleroi,1,LB
O. Scarione,32,Argentina,Göztepe SK,825K,CAM
Alex,26,Portugal,Vitória de Setúbal,1.1,LW
S. Gallagher,22,England,Southampton,1.6,ST
J. Blanco,26,Colombia,Independiente Medellín,1.2,LM
O. Hamzaoui,27,Algeria,CD Nacional,1.1,ST
G. Milović,29,Croatia,KV Oostende,825K,RCB
P. Hosiner,29,Austria,SK Sturm Graz,1.1,ST
Caro,25,Spain,Albacete BP,1.2,CB
Felipe Pires,23,Brazil,TSG 1899 Hoffenheim,1.4,LM
S. Chernik,29,Belarus,AS Nancy Lorraine,700K,GK
Renato Rochela,26,Brazil,Atlético Mineiro,1.1,CAM
J. Henry,29,England,Oxford United,1,RCM
L. James,25,Nigeria,Molde FK,1.3,ST
P. Reulet,24,France,Stade Malherbe Caen,1.2,GK
M. Miloš,25,Croatia,CD Aves,1.1,RB
L. Valzania,22,Italy,Atalanta,1.6,CM
J. George,25,Germany, SSV Jahn Regensburg,1.2,LAM
G. Robail,24,France,Valenciennes FC,1.4,LM
B. Beckeles,32,Honduras,Club Necaxa,575K,RB
R. Brežančić,28,Serbia,SD Huesca,825K,LB
D. Camara,23,Guinea,ESTAC Troyes,1.4,ST
O. Barreto,25,Colombia,Millonarios FC,1.2,RM
J. Igbekeme,22,Nigeria,Real Zaragoza,1.5,LCM
D. Álvarez,36,Colombia,Patriotas Boyacá FC,375K,ST
S. Neumann,27,Germany,MSV Duisburg,1,CB
Diego Barcelos,33,Brazil,CD Nacional,650K,CAM
M. Wallace,25,Scotland,Millwall,1.1,CB
D. Bottinelli,31,Argentina,Audax Italiano,925K,LCM
C. McLaughlin,26,Northern Ireland,Millwall,1,RB
C. Gamboa,28,Costa Rica,Celtic,825K,RB
J. Vanlerberghe,22,Belgium,KV Oostende,1.3,CDM
M. Osuna,29,Mexico,Monarcas Morelia,825K,CDM
K. Miller,38,Scotland,Dundee FC,375K,ST
M. Ciani,34,France,LA Galaxy,325K,CB
L. Vásquez,26,Colombia,América de Cali,1.1,RDM
G. Troupée,20,Netherlands,ADO Den Haag,1.3,RB
A. Erdem,29,Turkey,Medipol Başakşehir FK,800K,LB
D. De fauw,36,Belgium,SV Zulte-Waregem,120K,RB
D. Cavaré,23,France,Barnsley,1.2,RB
F. Maouassa,19,France,Nîmes Olympique,1.3,LB
N. Dovedan,23,Austria,1. FC Heidenheim 1846,1.4,CAM
V. Hedenstad,27,Norway,Rosenborg BK,975K,RB
J. O'Shea,37,Republic of Ireland,Reading,140K,CB
Y. Wildschut,26,Netherlands,Bolton Wanderers,1.1,LM
P. Dawidowicz,23,Poland,Hellas Verona,1.6,CB
P. Bartolomei,28,Italy,Spezia,1,RCM
Rômulão Selva,26,Brazil,Botafogo,1.2,LS
K. Higashi,27,Japan,FC Tokyo,1.1,RM
L. Mora,30,Italy,Spezia,975K,CM
J. Abrigo,23,Chile,Tiburones Rojos de Veracruz,1.5,CAM
M. Diskerud,27,United States,Ulsan Hyundai FC,1.1,CM
E. Torregrossa,26,Italy,Brescia,1.3,RS
C. Cadden,21,Scotland,Motherwell,1.6,RM
D. Dąbrowski,25,Poland,Cracovia,1.1,RCM
Fernández,28,Spain,Córdoba CF,825K,RB
Z. Yavru,26,Turkey,Trabzonspor,1,RB
L. Wallace,30,Scotland,Rangers FC,750K,LB
J. Niezgoda,23,Poland,Legia Warszawa,1.5,ST
L. Abubakar,23,Ghana,Columbus Crew SC,1.2,CB
C. Leitgeb,33,Austria,FC Red Bull Salzburg,625K,CM
E. Pisano,31,Italy,Bristol City,700K,RB
F. N'Sakala,27,DR Congo,Alanyaspor,875K,LB
L. Thomas,26,Australia,Melbourne Victory,850K,GK
Igor Rossi,29,Brazil,Al Faisaly,825K,LCB
A. Sadiku,27,Albania,Levante UD,1.2,ST
K. Bistrović,20,Croatia,PFC CSKA Moscow,1.8,CDM
V. Elm,32,Sweden,Kalmar FF,600K,RCB
Carlos Ruiz,34,Spain,CD Tenerife,325K,CB
M. Clarke,21,England,Portsmouth,1.8,LCB
Witi,21,Mozambique,CD Nacional,1.5,RW
Auro,22,Brazil,Toronto FC,1.4,RB
K. Palmer,21,England,Blackburn Rovers,1.6,CAM
B. Radunović,22,Serbia,US Cremonese,1.4,GK
M. Diallo,32,Senegal,Nîmes Olympique,600K,CDM
Negueba,26,Brazil,Gyeongnam FC,1.2,RM
J. Repas,21,Slovenia,Stade Malherbe Caen,1.8,LW
N. Mäenpää,33,Finland,Bristol City,525K,GK
P. Cibicki,24,Sweden,Molde FK,1.4,LW
T. Touré,24,Ivory Coast,Angers SCO,1.3,LM
T. Jibril,20,Nigeria,Portimonense SC,1.5,RW
M. Morys,31,Germany,VfR Aalen,925K,LS
S. Schonlau,23,Germany,SC Paderborn 07,1.2,LCB
A. Favilli,21,Italy,Genoa,1.9,ST
D. Pisot,30,Germany,Karlsruher SC,775K,LCB
Noguera,28,Spain,CD Numancia,1.1,RM
D. Rubio,25,Chile,Sporting Kansas City,1.4,ST
S. Hedlund,25,Sweden,1. FC Union Berlin,1.3,LW
R. Dugimont,32,France,AJ Auxerre,825K,CAM
A. Montero,23,Colombia,Deportes Tolima,1.3,GK
M. Hartel,22,Germany,1. FC Union Berlin,1.5,LW
Adrián Ortolá,24,Spain,Deportivo de La Coruña,1.1,GK
D. Ismail,24,Iraq,Çaykur Rizespor,1.2,LB
T. Ambrose,21,France,Racing Club de Lens,1.7,LM
N. Ueda,23,Japan,KSV Cercle Brugge,1.2,RCB
F. Cassata,20,Italy,Frosinone,1.8,CM
Kim Shin Wook,30,Korea Republic,Jeonbuk Hyundai Motors,1,RS
A. Keogh,32,Republic of Ireland,Perth Glory,850K,ST
Javi Galán,23,Spain,Córdoba CF,1.2,LB
D. Melo,24,Chile,CD Palestino,1.1,GK
M. Vešović,26,Montenegro,Legia Warszawa,900K,RB
Pedro Pereira,20,Portugal,Genoa,1.6,RB
J. Kappelhof,27,Netherlands,Chicago Fire,1,RCB
Y. Okubo,36,Japan,Júbilo Iwata,375K,ST
F. Bordagaray,31,Argentina,Defensa y Justicia,950K,ST
C. Akpom,22,England,PAOK,1.5,ST
R. Taylor,33,England,Fleetwood Town,400K,CDM
Kaíque Mutto,26,Brazil,Atlético Mineiro,750K,GK
N. Barrios,20,Argentina,San Lorenzo de Almagro,2,LM
G. Sauro,28,Argentina,Columbus Crew SC,1,CB
M. Riemann,29,Germany,VfL Bochum 1848,700K,GK
Jung Jo Gook,34,Korea Republic,Gangwon FC,550K,ST
Xavi Molina,31,Spain,KAS Eupen,700K,RB
S. Thesker,27,Germany,Holstein Kiel,1,CB
Ailton Cardenhas,30,Brazil,Santos,675K,GK
G. Kyei,22,France,Racing Club de Lens,1.5,ST
L. Wahlqvist,21,Sweden,SG Dynamo Dresden,1.3,RWB
G. Lorenzetti,33,Chile,Universidad de Chile,625K,CM
João Victor,24,Brazil,LASK Linz,1.3,LW
D. Sánchez,31,Chile,Unión Española,650K,GK
D. Oberlin,20,Switzerland,FC Basel 1893,1.9,ST
A. Avlonitis,28,Greece,SK Sturm Graz,850K,CB
I. Sissoko,20,France,RC Strasbourg Alsace,1.7,RCM
Aguilera,32,Spain,SD Huesca,600K,CDM
Z. Boucher,26,France,Angers SCO,925K,GK
K. Misao,22,Japan,Kashima Antlers,1.7,CM
B. Kısa,35,Turkey,Akhisar Belediyespor,450K,CM
T. Beermann,27,Germany,1. FC Heidenheim 1846,1,LCB
G. Courtet,29,France,FC Lorient,1.1,ST
F. Oreja,36,Argentina,Gimnasia y Esgrima La Plata,120K,RB
J. Silva,23,Mexico,Cruz Azul,1.2,CB
F. Ballo-Touré,21,France,LOSC Lille,1.6,LB
S. Celozzi,29,Germany,VfL Bochum 1848,800K,RB
P. Kitchen,26,United States,LA Galaxy,1.1,CDM
T. Weilandt,26,Germany,VfL Bochum 1848,1.2,RM
M. Salvi,24,Switzerland,FC Luzern,1.2,GK
José Mari,30,Spain,Cádiz CF,775K,LDM
L. Velázquez,29,Argentina,Rionegro Águilas,1,CAM
Fábio China,25,Portugal,Clube Sport Marítimo,1.1,LB
A. Guðmundsson,21,Iceland,AZ Alkmaar,1.9,RW
Niltinho,24,Brazil,GD Chaves,1.3,LW
D. Perquis,32,France,Valenciennes FC,600K,GK
Fredy,28,Angola,Os Belenenses,1.1,LW
Lee Seul Chan,24,Korea Republic,Jeonnam Dragons,1.2,LB
S. McKenna,21,Scotland,Aberdeen,1.8,LCB
M. Ciofani,30,Italy,Pescara,750K,RB
Paulinho,30,Brazil,Gyeongnam FC,1,LS
S. Posch,21,Austria,TSG 1899 Hoffenheim,1.4,CB
N. Rapp,21,Germany,FC Erzgebirge Aue,1.5,LCB
P. Sandler,21,Netherlands,Manchester City,1.7,CB
Jorge Fernandes,21,Portugal,CD Tondela,1.3,CB
O. Mazuch,29,Czech Republic,Hull City,825K,CB
Nicolas,30,Brazil,Udinese,675K,GK
J. Lowe,23,England,Portsmouth,1.4,RW
J. Glesnes,24,Norway,Strømsgodset IF,1.3,RCB
J. Spence,28,England,Ipswich Town,825K,RB
S. Sirigu,29,Germany,SV Darmstadt 98,800K,RB
E. Salli,25,Cameroon,1. FC Nürnberg,1.2,LM
C. Arrieta,22,Colombia,Envigado FC,1.3,RB
Dani Nieto,27,Spain,CD Numancia,1.1,RM
S. Allagbé,24,Benin,Chamois Niortais Football Club,1.1,GK
S. Kurumaya,26,Japan,Kawasaki Frontale,1,LB
J. Fontaine,29,France,Le Havre AC,1,CAM
L. Schmitz,29,Germany,Wolfsberger AC,800K,LB
Joãozinho,28,Portugal,CD Tondela,825K,LB
C. Moţi,33,Romania,,0,LCB
R. Strauß,31,Germany,1. FC Heidenheim 1846,700K,RB
